Tarih,Simdi,Acilis,Yuksek,Dusuk,Hac.,Fark %,Fark,RSI,Brent_Petrol,USD_TR,MACD,Williams
11.07.2010,57729.36,57199.35,59065.79,56658.46,2.08,1.01,530.01,41.01,-0.07,-0.84,42.28,-87.98
18.07.2010,59299.53,57392.52,60141.63,57392.52,1.87,2.72,1907.01,39.23,2.76,-1.14,152.13,-85.91
25.07.2010,59866.75,59570.81,60950.85,58961.69,2.01,0.96,295.94,40.14,0.94,-0.98,23.61,-85.16
01.08.2010,59753.02,60335.58,60792.04,58967.43,1.87,-0.19,-582.56,36.78,2.53,-1.16,-46.47,-85.31
08.08.2010,58479.86,60344.19,60441.82,57654.55,1.63,-2.13,-1864.33,42.94,-6.3,1.85,-148.72,-86.99
15.08.2010,58749.93,58611.4,59854.65,58122.18,1.88,0.46,138.53,45.25,-1.13,-0.1,11.05,-86.63
22.08.2010,59345.93,58720.0,59604.7,57927.41,1.55,1.01,625.93,58.95,3.22,0.04,49.93,-85.85
29.08.2010,60998.84,58972.91,61253.85,58811.03,1.61,2.79,2025.93,52.62,0.03,-1.09,161.61,-83.67
05.09.2010,60608.08,60999.73,61174.18,60312.29,573.21,-0.64,-391.65,59.6,1.94,0.62,-31.24,-84.19
12.09.2010,63862.03,61905.08,64447.56,61434.16,2.9,5.37,1956.95,61.04,0.06,-1.03,156.11,-79.9
19.09.2010,64241.48,63973.82,64897.77,63354.21,2.54,0.59,267.66,65.31,0.84,-1.19,21.35,-79.4
26.09.2010,64882.72,64476.99,66121.97,64231.09,2.79,1.0,405.73,64.94,6.19,-2.16,32.37,-78.56
03.10.2010,67217.24,64980.51,67398.49,64709.13,2.82,3.6,2236.73,62.22,0.33,-2.15,178.43,-75.48
10.10.2010,70101.22,67508.89,70820.34,67508.89,4.67,4.29,2592.33,69.69,-1.88,0.06,206.8,-71.69
17.10.2010,71006.82,69980.75,71268.01,69184.58,3.54,1.29,1026.07,68.22,0.62,0.74,81.85,-70.49
24.10.2010,68760.46,71498.42,71776.92,67312.11,2.04,-3.16,-2737.96,67.05,0.23,0.6,-218.41,-73.45
31.10.2010,70779.15,69442.1,71339.82,68146.31,3.21,2.94,1337.05,57.74,5.97,-2.51,106.66,-70.79
07.11.2010,69553.08,70401.7,71665.62,68561.46,3.38,-1.73,-848.62,59.54,-2.01,3.18,-67.7,-72.41
14.11.2010,69998.07,69332.9,70054.71,69048.57,157.78,0.64,665.17,58.46,-2.32,0.22,53.06,-71.82
21.11.2010,66147.74,71095.61,71151.66,65406.38,2.93,-5.5,-4947.87,58.13,1.47,2.97,-394.7,-76.89
28.11.2010,66860.19,66481.92,67551.97,63834.77,3.59,1.08,378.27,45.3,6.82,-0.75,30.18,-75.95
05.12.2010,64759.02,67169.09,68524.06,64629.4,3.39,-3.14,-2410.07,43.1,-1.03,1.77,-192.26,-78.72
12.12.2010,63524.18,65122.1,66970.75,62867.75,3.76,-1.91,-1597.92,44.11,1.32,2.8,-127.47,-80.35
19.12.2010,66267.34,63572.18,66396.49,62436.72,3.2,4.32,2695.16,46.81,2.29,0.16,215.0,-76.73
26.12.2010,66004.48,66163.73,67156.02,65258.89,3.54,-0.4,-159.25,48.38,1.05,-0.33,-12.7,-77.08
02.01.2011,68770.29,66363.04,69725.27,66127.36,5.1,4.19,2407.25,48.76,-1.5,1.99,192.03,-73.44
09.01.2011,67879.62,68515.26,68991.53,67300.87,3.99,-1.3,-635.64,47.56,5.73,-1.23,-50.71,-74.61
16.01.2011,65927.31,67654.83,67680.63,64471.7,3.98,-2.88,-1727.52,51.45,-1.09,1.3,-137.81,-77.18
23.01.2011,63211.27,66236.68,66393.03,62889.29,3.73,-4.12,-3025.41,52.75,1.86,2.6,-241.34,-80.76
30.01.2011,65309.0,62589.06,65868.81,61957.01,3.76,3.32,2719.94,49.97,0.41,-1.87,216.98,-78.0
06.02.2011,64730.35,65538.97,66163.09,63994.63,3.0,-0.89,-808.62,48.64,1.6,0.25,-64.51,-78.76
13.02.2011,65985.76,65347.61,66388.91,64373.12,3.81,1.94,638.15,52.34,1.07,-0.66,50.91,-77.11
