tr_now,tr_next,te_now,te_next
1907.01,295.94,530.01,1907.01
295.94,-582.56,-582.56,-1864.33
-1864.33,138.53,625.93,2025.93
138.53,625.93,1956.95,267.66
2025.93,-391.65,2236.73,2592.33
-391.65,1956.95,-2737.96,1337.05
267.66,405.73,665.17,-4947.87
405.73,2236.73,-2410.07,-1597.92
2592.33,1026.07,-159.25,2407.25
1026.07,-2737.96,-1727.52,-3025.41
1337.05,-848.62,-808.62,638.15
-848.62,665.17,-464.99,3220.6
-4947.87,378.27,452.6,1338.34
378.27,-2410.07,597.09,-118.62
-1597.92,2695.16,-1379.98,-3725.27
2695.16,-159.25,-461.61,693.82
2407.25,-635.64,-2386.17,970.54
-635.64,-1727.52,276.66,-667.81
-3025.41,2719.94,3068.38,-6466.28
2719.94,-808.62,250.24,1981.42
638.15,-4531.98,1351.32,2855.04
-4531.98,-464.99,4477.02,-1567.83
3220.6,83.11,-2774.48,18.68
83.11,452.6,1235.63,-2135.12
1338.34,2459.33,3193.31,-1109.25
2459.33,597.09,498.31,-969.2
-118.62,528.62,1063.92,3176.41
528.62,-1379.98,3094.08,-585.4
-3725.27,-1024.13,-1861.5,1330.44
-1024.13,-461.61,3190.01,-1006.9
693.82,699.46,-1658.79,-284.3
699.46,-2386.17,1025.11,-1778.96
970.54,1595.48,-1742.23,-2430.19
1595.48,276.66,2108.35,224.7
-667.81,-2624.02,2682.53,470.39
-2624.02,3068.38,-924.99,2982.22
-6466.28,-2923.13,-194.43,730.68
-2923.13,250.24,1672.73,633.03
1981.42,1251.21,-113.6,-1022.45
1251.21,1351.32,2257.52,1211.05
2855.04,-1020.71,746.07,205.19
-1020.71,4477.02,65.5,1874.75
-1567.83,1568.58,57.14,302.29
1568.58,-2774.48,1022.0,1232.87
18.68,-630.71,-542.36,-4680.99
-630.71,1235.63,-750.5,-2520.36
-2135.12,-3229.51,3682.31,-403.59
-3229.51,3193.31,2866.38,-3740.72
-1109.25,-1891.71,-1025.11,1501.03
-1891.71,498.31,513.34,2557.36
-969.2,-1132.04,-5179.16,-2130.44
-1132.04,1063.92,-5494.4,3575.77
3176.41,2583.48,664.94,1598.48
2583.48,3094.08,1680.48,-624.09
-585.4,1304.74,-5760.78,-1821.0
1304.74,-1861.5,3676.66,4831.79
1330.44,-1328.41,1865.18,337.2
-1328.41,3190.01,1110.67,-3143.27
-1006.9,1283.35,117.53,1003.91
1283.35,-1658.79,-2518.42,64.58
-284.3,-82.76,-6253.73,674.77
-82.76,1025.11,-2754.7,-468.13
-1778.96,623.85,2448.49,532.02
623.85,-1742.23,-1483.35,1441.45
-2430.19,476.89,818.32,4361.97
476.89,2108.35,595.86,897.8
224.7,1553.86,3543.22,219.24
1553.86,2682.53,2749.84,1343.15
470.39,-63.27,-1849.26,197.93
-63.27,-924.99,-1229.55,1983.4
2982.22,780.78,1525.36,-1824.85
780.78,-194.43,-3735.12,1752.96
730.68,-154.14,1737.82,-4571.49
-154.14,1672.73,-2314.72,-217.85
633.03,58.53,1742.67,3243.92
58.53,-113.6,-2597.95,2865.39
-1022.45,1113.54,3052.73,-974.14
1113.54,2257.52,633.31,1346.89
1211.05,-92.03,2153.04,-501.01
-92.03,746.07,-1603.29,-4157.41
205.19,-1027.68,-655.8,-1339.27
-1027.68,65.5,-4564.85,4829.69
1874.75,3116.41,2117.97,301.85
3116.41,57.14,2720.15,-1742.35
302.29,1767.91,3443.14,-1836.52
1767.91,1022.0,-825.61,5264.36
1232.87,3587.67,632.08,-1139.6
3587.67,-542.36,-20.04,-4101.51
-4680.99,-1729.35,-1452.61,-1283.05
-1729.35,-750.5,2002.92,-1599.12
-2520.36,3794.08,3473.46,-269.64
3794.08,3682.31,3902.4,-63.9
-403.59,154.0,-763.36,-1723.51
154.0,2866.38,-898.97,-5014.18
-3740.72,2281.23,-3984.96,2180.01
2281.23,-1025.11,-2462.54,-1113.79
1501.03,3768.17,-1219.69,2719.24
3768.17,513.34,-3519.95,1740.11
2557.36,-1156.57,2481.55,2030.63
-1156.57,-5179.16,-1419.12,865.36
-2130.44,3107.75,2942.71,648.28
3107.75,-5494.4,-6873.63,-1223.28
3575.77,-3311.97,1495.4,191.44
-3311.97,664.94,-1037.74,-1080.18
1598.48,-3626.83,-100.93,4199.29
-3626.83,1680.48,2982.88,-162.18
-624.09,10.92,-573.71,-595.94
10.92,-5760.78,-279.25,-1121.39
-1821.0,-213.92,244.87,1051.87
